"age"	"workclass"	"education"	"educationNum"	"maritalStatus"	"occupation"	"relationship"	"race"	"sex"	"nativeCountry"
39	"State-gov"	"Bachelors"	13	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Male"	"United-States"
50	"Self-emp-not-inc"	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
38	"Private"	"HS-grad"	9	"Divorced"	"Handlers-cleaners"	"Not-in-family"	"White"	"Male"	"United-States"
53	"Private"	"11th"	7	"Married-civ-spouse"	"Handlers-cleaners"	"Husband"	"Black"	"Male"	"United-States"
28	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Wife"	"Black"	"Female"	"Cuba"
37	"Private"	"Masters"	14	"Married-civ-spouse"	"Exec-managerial"	"Wife"	"White"	"Female"	"United-States"
49	"Private"	"9th"	5	"Married-spouse-absent"	"Other-service"	"Not-in-family"	"Black"	"Female"	"Jamaica"
52	"Self-emp-not-inc"	"HS-grad"	9	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
31	"Private"	"Masters"	14	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	"United-States"
42	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
37	"Private"	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"Black"	"Male"	"United-States"
30	"State-gov"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"Asian-Pac-Islander"	"Male"	"India"
23	"Private"	"Bachelors"	13	"Never-married"	"Adm-clerical"	"Own-child"	"White"	"Female"	"United-States"
32	"Private"	"Assoc-acdm"	12	"Never-married"	"Sales"	"Not-in-family"	"Black"	"Male"	"United-States"
34	"Private"	"7th-8th"	4	"Married-civ-spouse"	"Transport-moving"	"Husband"	"Amer-Indian-Eskimo"	"Male"	"Mexico"
25	"Self-emp-not-inc"	"HS-grad"	9	"Never-married"	"Farming-fishing"	"Own-child"	"White"	"Male"	"United-States"
32	"Private"	"HS-grad"	9	"Never-married"	"Machine-op-inspct"	"Unmarried"	"White"	"Male"	"United-States"
38	"Private"	"11th"	7	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
43	"Self-emp-not-inc"	"Masters"	14	"Divorced"	"Exec-managerial"	"Unmarried"	"White"	"Female"	"United-States"
40	"Private"	"Doctorate"	16	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
54	"Private"	"HS-grad"	9	"Separated"	"Other-service"	"Unmarried"	"Black"	"Female"	"United-States"
35	"Federal-gov"	"9th"	5	"Married-civ-spouse"	"Farming-fishing"	"Husband"	"Black"	"Male"	"United-States"
43	"Private"	"11th"	7	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	"United-States"
59	"Private"	"HS-grad"	9	"Divorced"	"Tech-support"	"Unmarried"	"White"	"Female"	"United-States"
56	"Local-gov"	"Bachelors"	13	"Married-civ-spouse"	"Tech-support"	"Husband"	"White"	"Male"	"United-States"
19	"Private"	"HS-grad"	9	"Never-married"	"Craft-repair"	"Own-child"	"White"	"Male"	"United-States"
39	"Private"	"HS-grad"	9	"Divorced"	"Exec-managerial"	"Not-in-family"	"White"	"Male"	"United-States"
49	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
23	"Local-gov"	"Assoc-acdm"	12	"Never-married"	"Protective-serv"	"Not-in-family"	"White"	"Male"	"United-States"
20	"Private"	"Some-college"	10	"Never-married"	"Sales"	"Own-child"	"Black"	"Male"	"United-States"
45	"Private"	"Bachelors"	13	"Divorced"	"Exec-managerial"	"Own-child"	"White"	"Male"	"United-States"
30	"Federal-gov"	"Some-college"	10	"Married-civ-spouse"	"Adm-clerical"	"Own-child"	"White"	"Male"	"United-States"
22	"State-gov"	"Some-college"	10	"Married-civ-spouse"	"Other-service"	"Husband"	"Black"	"Male"	"United-States"
48	"Private"	"11th"	7	"Never-married"	"Machine-op-inspct"	"Unmarried"	"White"	"Male"	"Puerto-Rico"
21	"Private"	"Some-college"	10	"Never-married"	"Machine-op-inspct"	"Own-child"	"White"	"Male"	"United-States"
19	"Private"	"HS-grad"	9	"Married-AF-spouse"	"Adm-clerical"	"Wife"	"White"	"Female"	"United-States"
48	"Self-emp-not-inc"	"Assoc-acdm"	12	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
31	"Private"	"9th"	5	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	"United-States"
53	"Self-emp-not-inc"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
24	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Tech-support"	"Husband"	"White"	"Male"	"United-States"
49	"Private"	"HS-grad"	9	"Separated"	"Adm-clerical"	"Unmarried"	"White"	"Female"	"United-States"
25	"Private"	"HS-grad"	9	"Never-married"	"Handlers-cleaners"	"Not-in-family"	"White"	"Male"	"United-States"
57	"Federal-gov"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"Black"	"Male"	"United-States"
53	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	"United-States"
44	"Private"	"Masters"	14	"Divorced"	"Exec-managerial"	"Unmarried"	"White"	"Female"	"United-States"
41	"State-gov"	"Assoc-voc"	11	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
29	"Private"	"Assoc-voc"	11	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Male"	"United-States"
25	"Private"	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Wife"	"Other"	"Female"	"United-States"
47	"Private"	"Prof-school"	15	"Married-civ-spouse"	"Prof-specialty"	"Wife"	"White"	"Female"	"Honduras"
50	"Federal-gov"	"Bachelors"	13	"Divorced"	"Exec-managerial"	"Not-in-family"	"White"	"Male"	"United-States"
47	"Self-emp-inc"	"HS-grad"	9	"Divorced"	"Exec-managerial"	"Not-in-family"	"White"	"Male"	"United-States"
43	"Private"	"Some-college"	10	"Married-civ-spouse"	"Tech-support"	"Husband"	"White"	"Male"	"United-States"
46	"Private"	"5th-6th"	3	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	"Mexico"
35	"Private"	"Assoc-voc"	11	"Married-civ-spouse"	"Other-service"	"Husband"	"White"	"Male"	"Puerto-Rico"
41	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"White"	"Male"	"United-States"
30	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	"United-States"
30	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
48	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	"United-States"
42	"Private"	"Doctorate"	16	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
29	"Private"	"Some-college"	10	"Divorced"	"Tech-support"	"Not-in-family"	"White"	"Male"	"United-States"
36	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
28	"Private"	"Some-college"	10	"Divorced"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	"United-States"
53	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Adm-clerical"	"Wife"	"White"	"Female"	"United-States"
49	"Self-emp-inc"	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
19	"Private"	"Some-college"	10	"Never-married"	"Prof-specialty"	"Own-child"	"White"	"Male"	"United-States"
31	"Private"	"Bachelors"	13	"Separated"	"Sales"	"Own-child"	"Black"	"Female"	"United-States"
29	"Self-emp-not-inc"	"Bachelors"	13	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
23	"Private"	"Some-college"	10	"Never-married"	"Machine-op-inspct"	"Not-in-family"	"White"	"Male"	"United-States"
79	"Private"	"Some-college"	10	"Married-civ-spouse"	"Prof-specialty"	"Other-relative"	"White"	"Male"	"United-States"
27	"Private"	"HS-grad"	9	"Never-married"	"Other-service"	"Own-child"	"White"	"Male"	"Mexico"
40	"Private"	"Assoc-acdm"	12	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"White"	"Male"	"United-States"
18	"Private"	"11th"	7	"Never-married"	"Other-service"	"Own-child"	"White"	"Female"	"United-States"
31	"Local-gov"	"7th-8th"	4	"Married-civ-spouse"	"Farming-fishing"	"Husband"	"White"	"Male"	"United-States"
18	"Private"	"HS-grad"	9	"Never-married"	"Sales"	"Not-in-family"	"White"	"Male"	"United-States"
52	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Other-service"	"Husband"	"White"	"Male"	"Cuba"
46	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Other-service"	"Wife"	"White"	"Female"	"United-States"
59	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
44	"Private"	"HS-grad"	9	"Divorced"	"Craft-repair"	"Not-in-family"	"White"	"Female"	"United-States"
53	"Private"	"HS-grad"	9	"Divorced"	"Sales"	"Own-child"	"White"	"Female"	"United-States"
49	"Local-gov"	"HS-grad"	9	"Married-civ-spouse"	"Protective-serv"	"Husband"	"White"	"Male"	"United-States"
33	"Private"	"Masters"	14	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
30	"Private"	"9th"	5	"Never-married"	"Sales"	"Not-in-family"	"White"	"Male"	"United-States"
43	"Federal-gov"	"Doctorate"	16	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	"United-States"
57	"Private"	"Assoc-voc"	11	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
37	"Private"	"Some-college"	10	"Divorced"	"Craft-repair"	"Unmarried"	"White"	"Female"	"United-States"
28	"Private"	"Some-college"	10	"Divorced"	"Machine-op-inspct"	"Unmarried"	"Black"	"Female"	"United-States"
34	"Local-gov"	"Bachelors"	13	"Married-civ-spouse"	"Protective-serv"	"Husband"	"White"	"Male"	"United-States"
29	"Local-gov"	"Some-college"	10	"Never-married"	"Handlers-cleaners"	"Not-in-family"	"White"	"Male"	"United-States"
48	"Self-emp-not-inc"	"Doctorate"	16	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
37	"Private"	"Some-college"	10	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
48	"Private"	"Assoc-acdm"	12	"Divorced"	"Exec-managerial"	"Unmarried"	"White"	"Female"	"England"
32	"Federal-gov"	"HS-grad"	9	"Never-married"	"Other-service"	"Own-child"	"Black"	"Male"	"United-States"
76	"Private"	"Masters"	14	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
44	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
47	"Self-emp-not-inc"	"Masters"	14	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	"United-States"
20	"Private"	"Some-college"	10	"Never-married"	"Tech-support"	"Own-child"	"White"	"Female"	"United-States"
29	"Private"	"HS-grad"	9	"Never-married"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
32	"Self-emp-inc"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
30	"Private"	"11th"	7	"Never-married"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	"United-States"
31	"Local-gov"	"HS-grad"	9	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	"United-States"
42	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Handlers-cleaners"	"Husband"	"White"	"Male"	"United-States"
24	"Private"	"Bachelors"	13	"Never-married"	"Sales"	"Other-relative"	"White"	"Male"	"United-States"
